Identyfikator Produktu (ID); Indeks produktu; Atrybut(Nazwa:Typ:Pozycja)*; Wartość(Wartość:Pozycja)*; Wpływ na cenę; Ilość 
15123;15123;Data:select:3, Godzina:select:4;11-09:3, 13-00:4;-9.756098;250 
15123;15123;Data:select:3, Godzina:select:4;11-09:3, 18-00:4;-9.756098;250 
18690;18690;Data:select:3, Godzina:select:4;11-02:3, 14-00:4;-9.756098;250 
20803;20803;Data:select:3, Godzina:select:4;11-02:3, 12-00:4;-9.756098;250 
20803;20803;Data:select:3, Godzina:select:4;11-03:3, 20-00:4;-9.756098;250 
20803;20803;Data:select:3, Godzina:select:4;11-04:3, 20-00:4;-9.756098;250 
20803;20803;Data:select:3, Godzina:select:4;11-05:3, 20-00:4;-9.756098;250 
20803;20803;Data:select:3, Godzina:select:4;11-06:3, 20-00:4;0;250 
20803;20803;Data:select:3, Godzina:select:4;11-07:3, 20-00:4;-9.756098;250 
20803;20803;Data:select:3, Godzina:select:4;11-08:3, 19-45:4;-6.504065;250 
20803;20803;Data:select:3, Godzina:select:4;11-09:3, 20-00:4;-9.756098;250 
20804;20804;Data:select:3, Godzina:select:4;11-02:3, 12-15:4;-9.756098;250 
20804;20804;Data:select:3, Godzina:select:4;11-02:3, 20-00:4;-9.756098;250 
20804;20804;Data:select:3, Godzina:select:4;11-03:3, 18-45:4;-9.756098;250 
20804;20804;Data:select:3, Godzina:select:4;11-04:3, 18-45:4;-9.756098;250 
20804;20804;Data:select:3, Godzina:select:4;11-05:3, 18-45:4;-9.756098;250 
20804;20804;Data:select:3, Godzina:select:4;11-06:3, 18-45:4;0;250 
20804;20804;Data:select:3, Godzina:select:4;11-07:3, 18-45:4;-9.756098;250 
20804;20804;Data:select:3, Godzina:select:4;11-08:3, 18-45:4;-6.504065;250 
20805;20805;Data:select:3, Godzina:select:4;11-02:3, 15-20:4;-9.756098;250 
21327;21327;Data:select:3, Godzina:select:4;11-02:3, 10-20:4;-7.317073;250 
21346;21346;Data:select:3, Godzina:select:4;11-06:3, 11-50:4;0;250 
21353;21353;Data:select:3, Godzina:select:4;11-03:3, 10-20:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-03:3, 11-00:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-03:3, 13-30:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-03:3, 16-00:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-03:3, 18-20:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-04:3, 10-20:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-04:3, 12-40:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-04:3, 16-00:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-04:3, 18-20:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-05:3, 10-20:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-05:3, 12-40:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-05:3, 16-00:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-05:3, 18-20:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-06:3, 12-15:4;0;250 
21353;21353;Data:select:3, Godzina:select:4;11-06:3, 13-50:4;0;250 
21353;21353;Data:select:3, Godzina:select:4;11-06:3, 16-10:4;0;250 
21353;21353;Data:select:3, Godzina:select:4;11-07:3, 11-00:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-07:3, 12-50:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-07:3, 13-30:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-07:3, 16-00:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-07:3, 18-20:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-08:3, 10-20:4;-4.878049;250 
21353;21353;Data:select:3, Godzina:select:4;11-08:3, 11-00:4;-4.878049;250 
21353;21353;Data:select:3, Godzina:select:4;11-08:3, 12-40:4;-4.878049;250 
21353;21353;Data:select:3, Godzina:select:4;11-08:3, 13-30:4;-4.878049;250 
21353;21353;Data:select:3, Godzina:select:4;11-08:3, 16-00:4;-4.878049;250 
21353;21353;Data:select:3, Godzina:select:4;11-08:3, 18-20:4;-4.878049;250 
21353;21353;Data:select:3, Godzina:select:4;11-09:3, 10-20:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-09:3, 11-00:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-09:3, 12-40:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-09:3, 13-30:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-09:3, 16-00:4;-7.317073;250 
21353;21353;Data:select:3, Godzina:select:4;11-09:3, 18-20:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-03:3, 10-00:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-03:3, 10-40:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-03:3, 15-10:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-03:3, 17-40:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-04:3, 10-40:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-04:3, 15-00:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-04:3, 17-40:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-05:3, 10-40:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-05:3, 15-00:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-05:3, 17-40:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-07:3, 10-40:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-07:3, 11-45:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-07:3, 15-10:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-07:3, 17-40:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-08:3, 12-10:4;-4.878049;250 
21354;21354;Data:select:3, Godzina:select:4;11-08:3, 15-00:4;-4.878049;250 
21354;21354;Data:select:3, Godzina:select:4;11-08:3, 17-40:4;-4.878049;250 
21354;21354;Data:select:3, Godzina:select:4;11-09:3, 10-40:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-09:3, 11-45:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-09:3, 15-00:4;-7.317073;250 
21354;21354;Data:select:3, Godzina:select:4;11-09:3, 17-40:4;-7.317073;250 
21358;21358;Data:select:3, Godzina:select:4;11-02:3, 15-10:4;-9.756098;250 
21358;21358;Data:select:3, Godzina:select:4;11-02:3, 21-00:4;-9.756098;250 
21358;21358;Data:select:3, Godzina:select:4;11-02:3, 21-45:4;-9.756098;250 
21358;21358;Data:select:3, Godzina:select:4;11-03:3, 20-15:4;-9.756098;250 
21358;21358;Data:select:3, Godzina:select:4;11-04:3, 20-15:4;-9.756098;250 
21358;21358;Data:select:3, Godzina:select:4;11-05:3, 20-15:4;-9.756098;250 
21358;21358;Data:select:3, Godzina:select:4;11-06:3, 20-15:4;0;250 
21358;21358;Data:select:3, Godzina:select:4;11-07:3, 20-15:4;-9.756098;250 
21358;21358;Data:select:3, Godzina:select:4;11-08:3, 20-15:4;-6.504065;250 
21358;21358;Data:select:3, Godzina:select:4;11-09:3, 20-15:4;-9.756098;250 
21362;21362;Data:select:3, Godzina:select:4;11-02:3, 11-40:4;-9.756098;250 
21362;21362;Data:select:3, Godzina:select:4;11-02:3, 17-15:4;-9.756098;250 
21362;21362;Data:select:3, Godzina:select:4;11-03:3, 16-30:4;-9.756098;250 
21362;21362;Data:select:3, Godzina:select:4;11-03:3, 21-20:4;-9.756098;250 
21362;21362;Data:select:3, Godzina:select:4;11-04:3, 16-30:4;-9.756098;250 
21362;21362;Data:select:3, Godzina:select:4;11-04:3, 21-20:4;-9.756098;250 
21362;21362;Data:select:3, Godzina:select:4;11-05:3, 16-30:4;-9.756098;250 
21362;21362;Data:select:3, Godzina:select:4;11-05:3, 21-20:4;-9.756098;250 
21362;21362;Data:select:3, Godzina:select:4;11-06:3, 16-30:4;0;250 
21362;21362;Data:select:3, Godzina:select:4;11-06:3, 21-20:4;0;250 
21362;21362;Data:select:3, Godzina:select:4;11-07:3, 16-30:4;-9.756098;250 
21362;21362;Data:select:3, Godzina:select:4;11-07:3, 21-20:4;-9.756098;250 
21362;21362;Data:select:3, Godzina:select:4;11-08:3, 16-30:4;-6.504065;250 
21362;21362;Data:select:3, Godzina:select:4;11-08:3, 21-20:4;-6.504065;250 
21362;21362;Data:select:3, Godzina:select:4;11-09:3, 16-30:4;-9.756098;250 
21363;21363;Data:select:3, Godzina:select:4;11-02:3, 10-00:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-03:3, 10-10:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-03:3, 12-40:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-03:3, 14-30:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-03:3, 17-10:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-04:3, 13-00:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-04:3, 17-10:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-05:3, 13-00:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-05:3, 17-10:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-06:3, 14-20:4;0;250 
21363;21363;Data:select:3, Godzina:select:4;11-07:3, 10-00:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-07:3, 14-30:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-07:3, 17-10:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-08:3, 10-30:4;-4.878049;250 
21363;21363;Data:select:3, Godzina:select:4;11-08:3, 13-00:4;-4.878049;250 
21363;21363;Data:select:3, Godzina:select:4;11-08:3, 14-40:4;-4.878049;250 
21363;21363;Data:select:3, Godzina:select:4;11-08:3, 17-10:4;-4.878049;250 
21363;21363;Data:select:3, Godzina:select:4;11-09:3, 10-30:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-09:3, 14-30:4;-7.317073;250 
21363;21363;Data:select:3, Godzina:select:4;11-09:3, 17-10:4;-7.317073;250 
21364;21364;Data:select:3, Godzina:select:4;11-02:3, 13-20:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-02:3, 16-45:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-02:3, 19-30:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-02:3, 20-20:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-03:3, 13-15:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-03:3, 15-30:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-03:3, 19-00:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-03:3, 20-45:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-04:3, 13-15:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-04:3, 15-30:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-04:3, 19-00:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-04:3, 20-45:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-05:3, 13-15:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-05:3, 15-30:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-05:3, 19-00:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-05:3, 20-45:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-06:3, 12-00:4;0;250 
21364;21364;Data:select:3, Godzina:select:4;11-06:3, 15-30:4;0;250 
21364;21364;Data:select:3, Godzina:select:4;11-06:3, 19-00:4;0;250 
21364;21364;Data:select:3, Godzina:select:4;11-06:3, 21-00:4;0;250 
21364;21364;Data:select:3, Godzina:select:4;11-07:3, 13-15:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-07:3, 15-30:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-07:3, 19-00:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-07:3, 20-45:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-08:3, 13-15:4;-6.504065;250 
21364;21364;Data:select:3, Godzina:select:4;11-08:3, 15-30:4;-6.504065;250 
21364;21364;Data:select:3, Godzina:select:4;11-08:3, 20-45:4;-6.504065;250 
21364;21364;Data:select:3, Godzina:select:4;11-09:3, 13-15:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-09:3, 15-30:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-09:3, 19-00:4;-9.756098;250 
21364;21364;Data:select:3, Godzina:select:4;11-09:3, 20-30:4;-9.756098;250 
21557;21557;Data:select:3, Godzina:select:4;11-07:3, 10-00:4;-9.756098;250 
21738;21738;Data:select:3, Godzina:select:4;11-07:3, 11-00:4;-7.317073;250 
21748;21748;Data:select:3, Godzina:select:4;11-02:3, 10-10:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-02:3, 14-50:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-02:3, 17-00:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-02:3, 20-10:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-02:3, 20-30:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-03:3, 11-30:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-03:3, 14-50:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-03:3, 18-00:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-03:3, 19-45:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-03:3, 21-10:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-04:3, 11-30:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-04:3, 14-50:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-04:3, 18-00:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-04:3, 19-45:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-04:3, 21-10:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-05:3, 11-30:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-05:3, 14-50:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-05:3, 18-00:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-05:3, 19-45:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-05:3, 21-10:4;-9.756098;250 
21748;21748;Data:select:3, Godzina:select:4;11-06:3, 12-30:4;0;250 
21748;21748;Data:select:3, Godzina:select:4;11-06:3, 14-50:4;0;250 
21748;21748;Data:select:3, Godzina:select:4;11-06:3, 18-00:4;0;250 
21748;21748;Data:select:3, Godzina:select:4;11-06:3, 19-30:4;0;250 
21748;21748;Data:select:3, Godzina:select:4;11-06:3, 21-10:4;0;250 
21748;21748;Data:select:3, Godzina:select:4;11-07:3, 11-30:4;-9.756098;250 
