ID;Aktywny(0 lub 1);Nazwa*;Kategorie(x, y, z...);Cena zawiera podatek. (brutto); ID reguły podatku; W sprzedaży(0 lub 1);Ilość;Procent rabatu; Rabat od dnia(rrrr - mm - dd); Rabat do dnia(rrrr - mm - dd);Cecha(Nazwa:Wartość:Pozycja:Indywidualne); Adresy URL zdjęcia(x, y, z...); Opis
18690;1;DIUNA;Repertuar, Strona Główna, Dzisiaj;26.90;1;1;500;;;;Czas trwania:155 minut:0:0, Od lat:13:1:0;http://localhost/Images/15775144075360671540.jpeg ;"Film Diuna opowiada historię niezwykłej, pełnej przygód i emocji podróży Paula Atreidesa. Temu genialnemu i utalentowanemu młodemu człowiekowi pisane jest wspaniałe przeznaczenie, którego on sam nie jest w stanie pojąć. Najpierw jednak Paul musi się udać na najbardziej niebezpieczną planetę we wszechświecie, żeby ratować rodzinę i rodaków. Na planecie wybucha zażarty konflikt o dostęp do niewystępującej nigdzie indziej, najcenniejszej ze znanych substancji. Wyzwala ona w ludziach ich największy potencjał. Ale wojnę przetrwają tylko ci, którzy pokonają swój strach."
19684;1;ABE GOTUJE;Repertuar, Familijny;23.90;1;1;500;;;;Czas trwania:85 minut:0:0, Od lat:10:1:0;http://localhost/Images/2364590592757306671.jpeg ;"Dwunastoletni Abe jest miłośnikiem kuchni i gotowania. Jego w połowie izraelska a w połowie palestyńska rodzina nigdy nie zjadła wspólnie posiłku bez kłótni. Kiedy Abe porzuca swój tradycyjny letni obóz, aby spędzić czas z radykalnym ulicznym szefem kuchni Chico, kuchnia fusion jego mentora inspiruje go do zjednoczenia rodziny poprzez jedzenie. Abe postanawia ugotować posiłek, który zjednoczy wszystkich przy stole. Czy kuchnia może wyleczyć odwieczne podziały?"
20803;1;ETERNALS;Repertuar, Strona Główna, Dzisiaj;26.90;1;1;500;;;;Czas trwania:155 minut:0:0, Od lat:13:1:0;http://localhost/Images/8100995132423468387.jpeg ;"Film Marvel Studios “Eternals” wprowadza do Kinowego Uniwersum Marvela nową, fascynującą drużynę superbohaterów. Grupa nieśmiertelnych wojowników, działających w cieniu od tysięcy lat, musi się ujawnić, by stawić czoło odwiecznym wrogom ludzkości, Dewiantom."
20804;1;BO WE MNIE JEST SEKS;Repertuar, Strona Główna, Dzisiaj;26.90;1;1;500;;;;Czas trwania:105 minut:0:0, Od lat:15:1:0;http://localhost/Images/16452273603256624251.jpeg ;"Rok 1962, Kalina Jędrusik ma łatkę skandalistki. Z mężem Stanisławem Dygatem prowadzą otwarty dom. Ich częstymi gośćmi są Jeremi Przybora, Tadeusz Konwicki, Kazimierz Kutz, Barbara Krafftówna oraz Lucek, młody kochanek Kaliny. Artystka na scenie gorszy kobiety, oczarowuje mężczyzn. Tymczasem jej nowy przełożony pragnie gorącego romansu. Wykorzystując władzę, stawką za odrzucenie czyni jej karierę. Czy uda mu się złamać kobietę, która uwielbia niezależność, ale nie potrafi żyć bez występów?"
20805;1;POGROMCY DUCHÓW. Dziedzictwo;Repertuar, Strona Główna, Dzisiaj;26.90;1;1;500;;;;Czas trwania:117 minut:0:0, Od lat:13:1:0;http://localhost/Images/13887397040470669232.jpeg ;"Film w reżyserii Jasona Reitmana, wyprodukowany przez  Ivana Reitmana. Kolejny rozdział oryginalnego uniwersum Ghostbusters. Samotna matka i jej dwoje dzieci przybywają do małego miasteczka, gdzie odkrywają tajemnicze połączenie z oryginalnymi pogromcami duchów oraz sekretny spadek, który pozostawił im dziadek."
21327;1;PSZCZÓŁKA MAJA: Mały wielki skarb;Repertuar, Strona Główna, Dzisiaj, Familijny;23.90;1;1;500;;;;Czas trwania:88 minut:0:0, Od lat:0:1:0;http://localhost/Images/551870208045861828.jpeg ;"Wiosna nie zdążyła się jeszcze na dobre rozpocząć, a Maja i Gucio już wyruszają z ula w poszukiwaniu przygody. Napotkany na łące tajemniczy wędrowiec powierza im opiekę nad magiczną złotą pestką, którą mają dostarczyć do pałacu na Sekretnym Wzgórzu. W tak niebezpieczną misję najlepiej zabrać zaufanych kompanów. Maja i Gucio proszą więc o pomoc nieustraszonych mrówczych wojowników Zenka i Gienka. Dzielna drużyna rusza w drogę, nie mając pojęcia, że ich tropem podąża cały wachlarz typów spod ciemnej gwiazdy: chciwi łowcy nagród, tajni wysłannicy obcych łąk i zwykłe skrzydlate opryszki. Na dodatek wkrótce okaże się, że pestka tak naprawdę jest jajkiem, z którego wykluje się mała sympatyczna, ale nieco nieogarnięta mrówka."
21353;1;CLIFFORD. Wielki czerwony pies;Repertuar, Strona Główna, Dzisiaj, Familijny;23.90;1;1;500;;;;Czas trwania:96 minut:0:0, Od lat:6:1:0;http://localhost/Images/10018323904174381351.jpeg ;"Ośmioletnia dziewczynka, Emily Elizabeth marzy o tym, aby jej maleńki, czerwony szczeniak urósł i był silny, nie spodziewa się jednak, że budząc się pewnego ranka znajdzie wielkiego psa w swoim małym mieszkaniu w Nowym Jorku. Emily za wszelką cenę chce, aby ukochany zwierzak został z nią. Postanawia znaleźć czarodzieja, który, przywróci Clifforda do normalnego rozmiaru. Na poszukiwania udaje się ze swoim wujem Caseyem i szkolnym kolegą Owenem. Clifford wzbudza powszechne zaciekawienie. Przyciąga również uwagę złego naukowca, który chce aby Clifford został jego psem."
21358;1;PITBULL;Repertuar, Strona Główna, Dzisiaj;26.90;1;1;500;;;;Czas trwania:112 minut:0:0, Od lat:15:1:0;http://localhost/Images/6565219408794159935.jpeg ;"Kiedy podłożony na stacji paliw ładunek wybuchowy zabija policyjnego sapera, komendant główny policji przydziela do sprawy Gebelsa z wydziału ds. zabójstw. Śledztwo prowadzi go na trop przestępcy ze zbrojnego ramienia  grupy Pershinga - konstruktora bomb i porywacza, stojącego za dziesiątkami zamachów w Polsce i ponad setką porwań w całym kraju.  Konfrontacja bandyty i psa przeradza się w regularną wojnę. Od tych wydarzeń mijają lata. Znany z serialu syn Gebelsa, Jarek, który jest studentem informatyki na politechnice, wraz z kolegami znajduje ryzykowny sposób na szybki zarobek i przy wykorzystaniu wiedzy zaczyna dokonywać włamań do willi bogatych ludzi. Pech chce, że którejś nocy wybiera niewłaściwy dom, a Gebels staje przed sytuacją bez wyjścia, w której musi wsadzić własne dziecko do więzienia. Może być policjantem, który aresztuje przestępcę. Albo ojcem, który uratuje dziecko."
21362;1;TO MUSI BYĆ MIŁOŚĆ;Repertuar, Strona Główna, Dzisiaj;26.90;1;1;500;;;;Czas trwania:95 minut:0:0, Od lat:13:1:0;http://localhost/Images/13864099747291974493.jpeg ;"Gdy ich matka postanawia uciec z miasta i w samotności przemyśleć jeszcze raz decyzję o ślubie, niespodziewanie dołączają do niej córki. Choć pobyt rozpoczynają na kanapie w stylu Bridget Jones, w ramach rodzinnych obrad muszą zdecydować co dalej, bo każda z kobiet przechodzi teraz własne, miłosne zawirowania.<br /><br />Czy ich faceci w swojej totalnej niezdarności znajdą sposób, żeby odzyskać serca sióstr?"
21363;1;NASZE MAGICZNE ENCANTO;Repertuar, Strona Główna, Dzisiaj, Familijny;23.90;1;1;500;;;;Czas trwania:110 minut:0:0, Od lat:7:1:0;http://localhost/Images/7239826499152315324.jpeg ;"„Nasze magiczne Encanto” opowiada historię niezwykłej rodziny Madrigal. Ich pełen magii dom znajduje się w tętniącym życiem mieście - w cudownym i urokliwym miejscu zwanym Encanto, ukrytym w górach Kolumbii. Magia Encanto sprawiła, że każde dziecko w rodzinie posiada wyjątkową moc uzdrawiania, z wyjątkiem Mirabel. Kiedy magia otaczająca Encanto jest w niebezpieczeństwie, Mirabel odkrywa, że to właśnie ona, jako jedyna zwyczajna osoba w tej wyjątkowej rodzinie, może być jej ostatnią nadzieją."
21364;1;DOM GUCCI;Repertuar, Strona Główna, Dzisiaj;26.90;1;1;500;;;;Czas trwania:0 minut:0:0, Od lat:15:1:0;http://localhost/Images/14718016547856979806.jpeg ;"„Dom Gucci” inspirowany jest szokującą, prawdziwą historią rodzinnego imperium stojącego za włoskim domem mody Gucci.<br />Trzy dekady miłości, zdrady, dekadencji, zemsty, zwieńczone w końcu morderstwem, pokazują, co znaczy nazwisko Gucci, ile jest warte i jak daleko posunie się rodzina, by nie wypuścić z rąk kontroli nad fortuną."
21557;1;ŻEBY NIE BYŁO ŚLADÓW;Repertuar;26.90;1;1;500;;;;Czas trwania:160 minut:0:0, Od lat:15:1:0;http://localhost/Images/4533884335299461808.jpeg ;"Polska, 1983 roku. W kraju wciąż obowiązuje, mimo zawieszenia, wprowadzony przez komunistyczne władze stan wojenny, mający na celu zduszenie solidarnościowej opozycji. 12 maja Grzegorz Przemyk, syn opozycyjnej poetki Barbary Sadowskiej, zostaje zatrzymany i ciężko pobity przez patrol milicyjny. Przemyk umiera po dwóch dniach agonii. Jedynym świadkiem śmiertelnego pobicia jest jeden z kolegów Grzegorza, Jurek Popiel, który decyduje się walczyć o sprawiedliwość i złożyć obciążające milicjantów zeznania. Początkowo aparat państwowy, w tym Ministerstwo Spraw Wewnętrznych, bagatelizuje sprawę. Jednak gdy ponad 20 tysięcy ludzi przemaszeruje przez ulice Warszawy za trumną Przemyka, władza decyduje się użyć wszelkich narzędzi przeciwko świadkowi i matce zmarłego, aby ich skompromitować i zapobiec złożeniu przez Jurka zeznań w sądzie. Rozpoczyna się, nadzorowana osobiście przez Ministra Spraw Wewnętrznych, generała Czesława Kiszczaka, operacja „Junior”, której głównym celem jest powstrzymanie Jurka przed ujawnieniem prawdy oraz zrzucenie winy na sanitariuszy, którzy wieźli Przemyka po pobiciu na pogotowie. Armia esbeków zaczyna śledzić Jurka i jego rodziców, inwigilując ich życie prywatne 24 godziny na dobę, zaś media i prokuratura są kierowane i naciskane przez władzę, aby do opinii publicznej trafiały tylko „właściwe” komunikaty."
21748;1;DZIEWCZYNY Z DUBAJU®;Repertuar, Strona Główna, Dzisiaj;26.90;1;1;500;;;;Czas trwania:146 minut:0:0, Od lat:16:1:0;http://localhost/Images/14453004627501194432.jpeg ;"Oparte na prawdziwych wydarzeniach „Dziewczyny z Dubaju®” zdemaskują hipokryzję polskiego show biznesu i ujawnią całą prawdę na temat tzw. „afery dubajskiej”, w którą zamieszane były zarówno celebrytki i modelki, jak również wiele znanych postaci ze świata polityki, biznesu, czy sportu."
21754;1;VENOM 2: Carnage;Repertuar;26.90;1;1;500;;;;Czas trwania:97 minut:0:0, Od lat:13:1:0;http://localhost/Images/1740837475301474421.jpeg ;"Venom to jedna z najważniejszych, najbardziej złożonych postaci Marvela. Opowiada o dziennikarzu Eddie&#039;m Brocku (Tom Hardy), którego ciało w wyniku eksperymentu scaliło się z obcą formą życia - Venomem. W drugiej części poznamy Carnage’a (Woody Harrelson). Jest to jeden z najbardziej znanych czarnych charakterów Marvela. Reżyserem produkcji jest Andy Serkis."
21836;1;PLEASURE;Repertuar;26.90;1;1;500;;;;Czas trwania:105 minut:0:0, Od lat:18:1:0;http://localhost/Images/150242042704799746.jpeg ;"Business or pleasure? - pyta Bellę Cherry urzędnik graniczny na lotnisku w Los Angeles. Urocza, ale nieco naiwna 19-latka przyjeżdża z rodzinnej Szwecji do Kalifornii, aby rozpocząć karierę gwiazdy porno. Czy istnieje pornografia tworzona z poszanowaniem kobiet? Bella nie jest ofiarą wyzysku ani handlu ludźmi, pochodzi z bogatego kraju, jest świadoma, sekspozytywna i pełna wiary, że może decydować o sobie i swoim ciele. Praca seksualna nie jest dla niej przymusem, ale wyborem, a kalifornijska branża porno wydaje się przestrzegać zasad mających chronić aktorki i aktorów przed nadużyciami. W miarę przekraczania kolejnych &quot;kręgów piekła&quot; jasne jednak staje się, że mimo wszelkich wysiłków przemysł pornograficzny pozostaje szarą strefą, a granica między przyzwoleniem a przymusem jest nieostra. Autentyczny i bezkompromisowy film obnaża to wszystko, co nie mieści się w kadrze filmu z YouPorna: od przygotowań higienicznych i rozgrzewki aktorów, przez negocjacje w trakcie hardcore’owych scen, po sposób filmowania i ustawień kamery dla najlepszego efektu. Wszystko oglądamy oczami Belli, widzimy dokładnie to, co widzi ona. Bez cenzury i bez znieczulenia."
