Indeks produktu; Atrybut(Nazwa:Typ:Pozycja)*; Wartość(Wartość:Pozycja)*; Wpływ na cenę; Ilość 
18690;Data:select:3, Godzina:select:4;10-27:3, 14-0:4;-8;250 
18690;Data:select:3, Godzina:select:4;10-28:3, 14-0:4;-4;250 
18690;Data:select:3, Godzina:select:4;10-29:3, 14-0:4;-8;250 
18690;Data:select:3, Godzina:select:4;10-30:3, 14-0:4;-12;250 
18690;Data:select:3, Godzina:select:4;11-1:3, 14-0:4;-8;250 
18690;Data:select:3, Godzina:select:4;11-2:3, 14-0:4;-8;250 
19684;Data:select:3, Godzina:select:4;10-30:3, 9-0:4;-12;250 
20803;Data:select:3, Godzina:select:4;10-27:3, 11-30:4;-8;250 
20803;Data:select:3, Godzina:select:4;10-28:3, 11-30:4;-4;250 
20803;Data:select:3, Godzina:select:4;10-29:3, 11-30:4;-8;250 
20803;Data:select:3, Godzina:select:4;10-30:3, 11-30:4;-12;250 
20803;Data:select:3, Godzina:select:4;11-1:3, 11-30:4;-8;250 
20803;Data:select:3, Godzina:select:4;11-2:3, 12-0:4;-8;250 
20804;Data:select:3, Godzina:select:4;10-27:3, 11-45:4;-8;250 
20804;Data:select:3, Godzina:select:4;10-27:3, 20-15:4;-8;250 
20804;Data:select:3, Godzina:select:4;10-28:3, 11-45:4;-4;250 
20804;Data:select:3, Godzina:select:4;10-28:3, 20-15:4;-4;250 
20804;Data:select:3, Godzina:select:4;10-29:3, 12-0:4;-8;250 
20804;Data:select:3, Godzina:select:4;10-29:3, 20-0:4;-8;250 
20804;Data:select:3, Godzina:select:4;10-30:3, 11-45:4;-12;250 
20804;Data:select:3, Godzina:select:4;10-30:3, 20-15:4;-12;250 
20804;Data:select:3, Godzina:select:4;11-1:3, 12-10:4;-8;250 
20804;Data:select:3, Godzina:select:4;11-1:3, 20-30:4;-8;250 
20804;Data:select:3, Godzina:select:4;11-2:3, 12-15:4;-8;250 
20804;Data:select:3, Godzina:select:4;11-2:3, 20-0:4;-8;250 
20805;Data:select:3, Godzina:select:4;10-27:3, 15-20:4;-8;250 
20805;Data:select:3, Godzina:select:4;10-28:3, 15-20:4;-4;250 
20805;Data:select:3, Godzina:select:4;10-29:3, 15-20:4;-8;250 
20805;Data:select:3, Godzina:select:4;10-30:3, 15-20:4;-12;250 
20805;Data:select:3, Godzina:select:4;11-1:3, 15-20:4;-8;250 
20805;Data:select:3, Godzina:select:4;11-2:3, 15-20:4;-8;250 
21327;Data:select:3, Godzina:select:4;10-27:3, 10-10:4;-9;250 
21327;Data:select:3, Godzina:select:4;10-28:3, 10-10:4;-6;250 
21327;Data:select:3, Godzina:select:4;10-29:3, 10-0:4;-9;250 
21327;Data:select:3, Godzina:select:4;10-30:3, 10-10:4;-12;250 
21327;Data:select:3, Godzina:select:4;11-1:3, 10-0:4;-9;250 
21327;Data:select:3, Godzina:select:4;11-2:3, 10-20:4;-9;250 
21353;Data:select:3, Godzina:select:4;10-27:3, 11-15:4;-9;250 
21353;Data:select:3, Godzina:select:4;10-27:3, 15-0:4;-9;250 
21353;Data:select:3, Godzina:select:4;10-28:3, 11-15:4;-6;250 
21353;Data:select:3, Godzina:select:4;10-28:3, 15-0:4;-6;250 
21358;Data:select:3, Godzina:select:4;10-27:3, 21-0:4;-8;250 
21358;Data:select:3, Godzina:select:4;10-28:3, 21-0:4;-4;250 
21358;Data:select:3, Godzina:select:4;10-28:3, 21-45:4;-4;250 
21358;Data:select:3, Godzina:select:4;10-29:3, 15-0:4;-8;250 
21358;Data:select:3, Godzina:select:4;10-29:3, 21-0:4;-8;250 
21358;Data:select:3, Godzina:select:4;10-29:3, 21-45:4;-8;250 
21358;Data:select:3, Godzina:select:4;10-30:3, 15-0:4;-12;250 
21358;Data:select:3, Godzina:select:4;10-30:3, 21-0:4;-12;250 
21358;Data:select:3, Godzina:select:4;10-30:3, 21-45:4;-12;250 
21358;Data:select:3, Godzina:select:4;11-1:3, 15-0:4;-8;250 
21358;Data:select:3, Godzina:select:4;11-1:3, 21-0:4;-8;250 
21358;Data:select:3, Godzina:select:4;11-1:3, 21-45:4;-8;250 
21358;Data:select:3, Godzina:select:4;11-2:3, 15-10:4;-8;250 
21358;Data:select:3, Godzina:select:4;11-2:3, 21-0:4;-8;250 
21358;Data:select:3, Godzina:select:4;11-2:3, 21-45:4;-8;250 
21362;Data:select:3, Godzina:select:4;10-27:3, 17-15:4;-8;250 
21362;Data:select:3, Godzina:select:4;10-28:3, 17-15:4;-4;250 
21362;Data:select:3, Godzina:select:4;10-29:3, 11-40:4;-8;250 
21362;Data:select:3, Godzina:select:4;10-29:3, 17-15:4;-8;250 
21362;Data:select:3, Godzina:select:4;10-30:3, 11-15:4;-12;250 
21362;Data:select:3, Godzina:select:4;10-30:3, 17-15:4;-12;250 
21362;Data:select:3, Godzina:select:4;11-1:3, 11-40:4;-8;250 
21362;Data:select:3, Godzina:select:4;11-1:3, 17-15:4;-8;250 
21362;Data:select:3, Godzina:select:4;11-2:3, 11-40:4;-8;250 
21362;Data:select:3, Godzina:select:4;11-2:3, 17-15:4;-8;250 
21363;Data:select:3, Godzina:select:4;10-27:3, 10-0:4;-9;250 
21363;Data:select:3, Godzina:select:4;10-28:3, 10-0:4;-6;250 
21363;Data:select:3, Godzina:select:4;10-29:3, 10-0:4;-9;250 
21363;Data:select:3, Godzina:select:4;10-30:3, 10-0:4;-12;250 
21363;Data:select:3, Godzina:select:4;11-1:3, 10-0:4;-9;250 
21363;Data:select:3, Godzina:select:4;11-2:3, 10-0:4;-9;250 
21364;Data:select:3, Godzina:select:4;10-27:3, 13-30:4;-8;250 
21364;Data:select:3, Godzina:select:4;10-27:3, 17-0:4;-8;250 
21364;Data:select:3, Godzina:select:4;10-27:3, 19-30:4;-8;250 
21364;Data:select:3, Godzina:select:4;10-27:3, 20-30:4;-8;250 
21364;Data:select:3, Godzina:select:4;10-27:3, 21-0:4;-8;250 
21364;Data:select:3, Godzina:select:4;10-28:3, 13-30:4;-4;250 
21364;Data:select:3, Godzina:select:4;10-28:3, 17-0:4;-4;250 
21364;Data:select:3, Godzina:select:4;10-28:3, 19-30:4;-4;250 
21364;Data:select:3, Godzina:select:4;10-28:3, 20-30:4;-4;250 
21364;Data:select:3, Godzina:select:4;10-29:3, 13-20:4;-8;250 
21364;Data:select:3, Godzina:select:4;10-29:3, 16-45:4;-8;250 
21364;Data:select:3, Godzina:select:4;10-29:3, 19-30:4;-8;250 
21364;Data:select:3, Godzina:select:4;10-29:3, 20-20:4;-8;250 
21364;Data:select:3, Godzina:select:4;10-30:3, 13-30:4;-12;250 
21364;Data:select:3, Godzina:select:4;10-30:3, 17-0:4;-12;250 
21364;Data:select:3, Godzina:select:4;10-30:3, 19-30:4;-12;250 
21364;Data:select:3, Godzina:select:4;10-30:3, 20-30:4;-12;250 
21364;Data:select:3, Godzina:select:4;11-1:3, 13-20:4;-8;250 
21364;Data:select:3, Godzina:select:4;11-1:3, 16-45:4;-8;250 
21364;Data:select:3, Godzina:select:4;11-1:3, 19-30:4;-8;250 
21364;Data:select:3, Godzina:select:4;11-1:3, 20-20:4;-8;250 
21364;Data:select:3, Godzina:select:4;11-2:3, 13-20:4;-8;250 
21364;Data:select:3, Godzina:select:4;11-2:3, 16-45:4;-8;250 
