Indeks produktu; Atrybut(Nazwa:Typ:Pozycja)*; Wartość(Wartość:Pozycja)*; Ilość 
18690;Data:select:0, Godzina:select:1;10:0, 14:1;250 
18690;Data:select:0, Godzina:select:1;10:0, 14:1;250 
18690;Data:select:0, Godzina:select:1;10:0, 14:1;250 
18690;Data:select:0, Godzina:select:1;10:0, 14:1;250 
18690;Data:select:0, Godzina:select:1;11:0, 14:1;250 
18690;Data:select:0, Godzina:select:1;11:0, 14:1;250 
19684;Data:select:0, Godzina:select:1;10:0, 9:1;250 
20803;Data:select:0, Godzina:select:1;10:0, 11:1;250 
20803;Data:select:0, Godzina:select:1;10:0, 11:1;250 
20803;Data:select:0, Godzina:select:1;10:0, 11:1;250 
20803;Data:select:0, Godzina:select:1;10:0, 11:1;250 
20803;Data:select:0, Godzina:select:1;11:0, 11:1;250 
20803;Data:select:0, Godzina:select:1;11:0, 12:1;250 
20804;Data:select:0, Godzina:select:1;10:0, 11:1;250 
20804;Data:select:0, Godzina:select:1;10:0, 20:1;250 
20804;Data:select:0, Godzina:select:1;10:0, 11:1;250 
20804;Data:select:0, Godzina:select:1;10:0, 20:1;250 
20804;Data:select:0, Godzina:select:1;10:0, 12:1;250 
20804;Data:select:0, Godzina:select:1;10:0, 20:1;250 
20804;Data:select:0, Godzina:select:1;10:0, 11:1;250 
20804;Data:select:0, Godzina:select:1;10:0, 20:1;250 
20804;Data:select:0, Godzina:select:1;11:0, 12:1;250 
20804;Data:select:0, Godzina:select:1;11:0, 20:1;250 
20804;Data:select:0, Godzina:select:1;11:0, 12:1;250 
20804;Data:select:0, Godzina:select:1;11:0, 20:1;250 
20805;Data:select:0, Godzina:select:1;10:0, 15:1;250 
20805;Data:select:0, Godzina:select:1;10:0, 15:1;250 
20805;Data:select:0, Godzina:select:1;10:0, 15:1;250 
20805;Data:select:0, Godzina:select:1;10:0, 15:1;250 
20805;Data:select:0, Godzina:select:1;11:0, 15:1;250 
20805;Data:select:0, Godzina:select:1;11:0, 15:1;250 
21327;Data:select:0, Godzina:select:1;10:0, 10:1;250 
21327;Data:select:0, Godzina:select:1;10:0, 10:1;250 
21327;Data:select:0, Godzina:select:1;10:0, 10:1;250 
21327;Data:select:0, Godzina:select:1;10:0, 10:1;250 
21327;Data:select:0, Godzina:select:1;11:0, 10:1;250 
21327;Data:select:0, Godzina:select:1;11:0, 10:1;250 
21353;Data:select:0, Godzina:select:1;10:0, 11:1;250 
21353;Data:select:0, Godzina:select:1;10:0, 15:1;250 
21353;Data:select:0, Godzina:select:1;10:0, 11:1;250 
21353;Data:select:0, Godzina:select:1;10:0, 15:1;250 
21358;Data:select:0, Godzina:select:1;10:0, 21:1;250 
21358;Data:select:0, Godzina:select:1;10:0, 21:1;250 
21358;Data:select:0, Godzina:select:1;10:0, 21:1;250 
21358;Data:select:0, Godzina:select:1;10:0, 15:1;250 
21358;Data:select:0, Godzina:select:1;10:0, 21:1;250 
21358;Data:select:0, Godzina:select:1;10:0, 21:1;250 
21358;Data:select:0, Godzina:select:1;10:0, 15:1;250 
21358;Data:select:0, Godzina:select:1;10:0, 21:1;250 
21358;Data:select:0, Godzina:select:1;10:0, 21:1;250 
21358;Data:select:0, Godzina:select:1;11:0, 15:1;250 
21358;Data:select:0, Godzina:select:1;11:0, 21:1;250 
21358;Data:select:0, Godzina:select:1;11:0, 21:1;250 
21358;Data:select:0, Godzina:select:1;11:0, 15:1;250 
21358;Data:select:0, Godzina:select:1;11:0, 21:1;250 
21358;Data:select:0, Godzina:select:1;11:0, 21:1;250 
21362;Data:select:0, Godzina:select:1;10:0, 17:1;250 
21362;Data:select:0, Godzina:select:1;10:0, 17:1;250 
21362;Data:select:0, Godzina:select:1;10:0, 11:1;250 
21362;Data:select:0, Godzina:select:1;10:0, 17:1;250 
21362;Data:select:0, Godzina:select:1;10:0, 11:1;250 
21362;Data:select:0, Godzina:select:1;10:0, 17:1;250 
21362;Data:select:0, Godzina:select:1;11:0, 11:1;250 
21362;Data:select:0, Godzina:select:1;11:0, 17:1;250 
21362;Data:select:0, Godzina:select:1;11:0, 11:1;250 
21362;Data:select:0, Godzina:select:1;11:0, 17:1;250 
21363;Data:select:0, Godzina:select:1;10:0, 10:1;250 
21363;Data:select:0, Godzina:select:1;10:0, 10:1;250 
21363;Data:select:0, Godzina:select:1;10:0, 10:1;250 
21363;Data:select:0, Godzina:select:1;10:0, 10:1;250 
21363;Data:select:0, Godzina:select:1;11:0, 10:1;250 
21363;Data:select:0, Godzina:select:1;11:0, 10:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 13:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 17:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 19:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 20:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 21:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 13:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 17:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 19:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 20:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 13:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 16:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 19:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 20:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 13:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 17:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 19:1;250 
21364;Data:select:0, Godzina:select:1;10:0, 20:1;250 
21364;Data:select:0, Godzina:select:1;11:0, 13:1;250 
21364;Data:select:0, Godzina:select:1;11:0, 16:1;250 
21364;Data:select:0, Godzina:select:1;11:0, 19:1;250 
21364;Data:select:0, Godzina:select:1;11:0, 20:1;250 
21364;Data:select:0, Godzina:select:1;11:0, 13:1;250 
21364;Data:select:0, Godzina:select:1;11:0, 16:1;250 
21364;Data:select:0, Godzina:select:1;11:0, 19:1;250 
21364;Data:select:0, Godzina:select:1;11:0, 20:1;250 
21557;Data:select:0, Godzina:select:1;11:0, 10:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 10:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 14:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 16:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 18:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 20:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 21:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 10:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 14:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 16:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 18:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 20:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 21:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 10:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 14:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 17:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 20:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 20:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 10:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 14:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 16:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 18:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 20:1;250 
21748;Data:select:0, Godzina:select:1;10:0, 21:1;250 
21748;Data:select:0, Godzina:select:1;11:0, 10:1;250 
21748;Data:select:0, Godzina:select:1;11:0, 15:1;250 
21748;Data:select:0, Godzina:select:1;11:0, 17:1;250 
21748;Data:select:0, Godzina:select:1;11:0, 18:1;250 
21748;Data:select:0, Godzina:select:1;11:0, 20:1;250 
21748;Data:select:0, Godzina:select:1;11:0, 21:1;250 
21748;Data:select:0, Godzina:select:1;11:0, 10:1;250 
21748;Data:select:0, Godzina:select:1;11:0, 14:1;250 
21748;Data:select:0, Godzina:select:1;11:0, 17:1;250 
21748;Data:select:0, Godzina:select:1;11:0, 20:1;250 
21748;Data:select:0, Godzina:select:1;11:0, 20:1;250 
21754;Data:select:0, Godzina:select:1;10:0, 10:1;250 
21836;Data:select:0, Godzina:select:1;10:0, 18:1;250 
22142;Data:select:0, Godzina:select:1;10:0, 12:1;250 
22142;Data:select:0, Godzina:select:1;10:0, 14:1;250 
22142;Data:select:0, Godzina:select:1;10:0, 17:1;250 
22142;Data:select:0, Godzina:select:1;10:0, 12:1;250 
22142;Data:select:0, Godzina:select:1;10:0, 14:1;250 
22142;Data:select:0, Godzina:select:1;10:0, 17:1;250 
22142;Data:select:0, Godzina:select:1;10:0, 12:1;250 
22142;Data:select:0, Godzina:select:1;10:0, 14:1;250 
22142;Data:select:0, Godzina:select:1;10:0, 17:1;250 
22142;Data:select:0, Godzina:select:1;10:0, 12:1;250 
22142;Data:select:0, Godzina:select:1;10:0, 14:1;250 
22142;Data:select:0, Godzina:select:1;10:0, 17:1;250 
22142;Data:select:0, Godzina:select:1;11:0, 12:1;250 
22142;Data:select:0, Godzina:select:1;11:0, 14:1;250 
22142;Data:select:0, Godzina:select:1;11:0, 17:1;250 
22142;Data:select:0, Godzina:select:1;11:0, 12:1;250 
22142;Data:select:0, Godzina:select:1;11:0, 14:1;250 
22142;Data:select:0, Godzina:select:1;11:0, 17:1;250 
22199;Data:select:0, Godzina:select:1;11:0, 10:1;250 
22204;Data:select:0, Godzina:select:1;11:0, 13:1;250 
22204;Data:select:0, Godzina:select:1;11:0, 18:1;250 
22388;Data:select:0, Godzina:select:1;10:0, 12:1;250 
22388;Data:select:0, Godzina:select:1;10:0, 18:1;250 
22388;Data:select:0, Godzina:select:1;10:0, 12:1;250 
22388;Data:select:0, Godzina:select:1;10:0, 18:1;250 
22388;Data:select:0, Godzina:select:1;10:0, 12:1;250 
22388;Data:select:0, Godzina:select:1;10:0, 18:1;250 
22388;Data:select:0, Godzina:select:1;10:0, 12:1;250 
22388;Data:select:0, Godzina:select:1;10:0, 18:1;250 
22388;Data:select:0, Godzina:select:1;11:0, 12:1;250 
22388;Data:select:0, Godzina:select:1;11:0, 18:1;250 
22388;Data:select:0, Godzina:select:1;11:0, 18:1;250 
22391;Data:select:0, Godzina:select:1;11:0, 18:1;250 
22510;Data:select:0, Godzina:select:1;10:0, 11:1;250 
22510;Data:select:0, Godzina:select:1;10:0, 13:1;250 
22510;Data:select:0, Godzina:select:1;10:0, 16:1;250 
