Identyfikator Produktu (ID); Indeks produktu; Atrybut(Nazwa:Typ:Pozycja)*; Wartość(Wartość:Pozycja)*; Wpływ na cenę; Ilość 
18690;18690;Data:select:3, Godzina:select:4;10-27:3, 14-00:4;-8;250 
18690;18690;Data:select:3, Godzina:select:4;10-28:3, 14-00:4;-4;250 
18690;18690;Data:select:3, Godzina:select:4;10-29:3, 14-00:4;-8;250 
18690;18690;Data:select:3, Godzina:select:4;10-30:3, 14-00:4;-12;250 
18690;18690;Data:select:3, Godzina:select:4;11-01:3, 14-00:4;-8;250 
18690;18690;Data:select:3, Godzina:select:4;11-02:3, 14-00:4;-8;250 
19684;19684;Data:select:3, Godzina:select:4;10-30:3, 09-00:4;-12;250 
20803;20803;Data:select:3, Godzina:select:4;10-27:3, 11-30:4;-8;250 
20803;20803;Data:select:3, Godzina:select:4;10-28:3, 11-30:4;-4;250 
20803;20803;Data:select:3, Godzina:select:4;10-29:3, 11-30:4;-8;250 
20803;20803;Data:select:3, Godzina:select:4;10-30:3, 11-30:4;-12;250 
20803;20803;Data:select:3, Godzina:select:4;11-01:3, 11-30:4;-8;250 
20803;20803;Data:select:3, Godzina:select:4;11-02:3, 12-00:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;10-27:3, 11-45:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;10-27:3, 20-15:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;10-28:3, 11-45:4;-4;250 
20804;20804;Data:select:3, Godzina:select:4;10-28:3, 20-15:4;-4;250 
20804;20804;Data:select:3, Godzina:select:4;10-29:3, 12-00:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;10-29:3, 20-00:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;10-30:3, 11-45:4;-12;250 
20804;20804;Data:select:3, Godzina:select:4;10-30:3, 20-15:4;-12;250 
20804;20804;Data:select:3, Godzina:select:4;11-01:3, 12-10:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;11-01:3, 20-30:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;11-02:3, 12-15:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;11-02:3, 20-00:4;-8;250 
20805;20805;Data:select:3, Godzina:select:4;10-27:3, 15-20:4;-8;250 
20805;20805;Data:select:3, Godzina:select:4;10-28:3, 15-20:4;-4;250 
20805;20805;Data:select:3, Godzina:select:4;10-29:3, 15-20:4;-8;250 
20805;20805;Data:select:3, Godzina:select:4;10-30:3, 15-20:4;-12;250 
